Lemma,SFI Rank,SFI,Adjusted Frequency per Million (U),意味,例文,,
specialize,2337,54.5,28,(動) 専門とする、特化する,She specializes in criminal law. (彼女は刑法を専門としている。),,
angle,2338,54.49,28,(名) 角度、視点,View the problem from a different angle. (異なる視点から問題を見てください。),,
chicken,2339,54.49,28,(名) 鶏肉、ニワトリ,I like fried chicken. (フライドチキンが好きだ。),,
anxiety,2340,54.49,28,(名) 不安、心配,He felt great anxiety about the exam. (彼は試験について大きな不安を感じていた。),,
virus,2341,54.48,28,(名) ウイルス,The computer was infected with a virus. (コンピュータがウイルスに感染していた。),,
precisely,2342,54.48,28,(副) 正確に、まさに,That's precisely what I mean. (それがまさに私の言いたいことだ。),,
rival,2343,54.48,28,(名) ライバル、競争相手 (形) ライバルの (動) 匹敵する,He is my main rival. (彼は私の主要なライバルだ。),,
offense,2344,54.48,28,(名) 違反、攻撃、感情を害すること,He committed a serious offense. (彼は重大な違反を犯した。),,
detect,2345,54.48,28,(動) 検出する、見つける,The sensor can detect movement. (そのセンサーは動きを検出できる。),,
teenager,2346,54.47,28,(名) 10代の若者,She is a typical teenager. (彼女は典型的な10代の若者だ。),,
admire,2347,54.47,28,(動) 感心する、賞賛する,I admire her courage. (私は彼女の勇気に感心する。),,
moderate,2348,54.46,28,(形) 適度な、穏健な (動) 緩和する、議長を務める,Exercise in moderation. (適度に運動しなさい。),,
surgery,2349,54.46,28,(名) 手術、外科,She had surgery on her knee. (彼女は膝の手術を受けた。),,
musician,2350,54.46,28,(名) 音楽家,He is a talented musician. (彼は才能ある音楽家だ。),,
significance,2351,54.46,28,(名) 重要性、意義,The discovery has great significance. (その発見は大きな意義がある。),,
shower,2352,54.45,28,(名) シャワー、にわか雨 (動) シャワーを浴びる、浴びせる,I took a shower this morning. (今朝シャワーを浴びた。),,
illegal,2353,54.45,28,(形) 違法の,It's illegal to park here. (ここに駐車するのは違法だ。),,
charity,2354,54.44,28,(名) 慈善、慈善団体,He donated money to charity. (彼は慈善団体にお金を寄付した。),,
universal,2355,54.44,28,(形) 全世界の、普遍的な,Love is a universal feeling. (愛は普遍的な感情だ。),,
cigarette,2356,54.44,28,(名) タバコ,He lit a cigarette. (彼はタバコに火をつけた。),,
constitute,2357,54.44,28,(動) 構成する、～と見なされる,These elements constitute the core of the system. (これらの要素がシステムの核を構成する。),,
adequate,2358,54.44,28,(形) 十分な、適切な,Is this amount adequate? (この量は適切ですか？),,
consultant,2359,54.44,28,(名) コンサルタント、相談役,She works as a management consultant. (彼女は経営コンサルタントとして働いている。),,
historian,2360,54.44,28,(名) 歴史家,He is a well-known historian. (彼は有名な歴史家だ。),,
cousin,2361,54.43,28,(名) いとこ,My cousin lives in Canada. (私のいとこはカナダに住んでいる。),,
visual,2362,54.43,28,(形) 視覚の、視覚的な,He is a visual artist. (彼は視覚芸術家だ。),,
stupid,2363,54.43,28,(形) ばかな、愚かな,That was a stupid mistake. (それは愚かな間違いだった。),,
keen,2364,54.42,28,(形) 熱心な、鋭い,He is keen to learn. (彼は学ぶことに熱心だ。),,
ethnic,2365,54.41,28,(形) 民族の、民族的な,The city is known for its ethnic diversity. (その都市は民族的多様性で知られている。),,
twin,2366,54.41,28,(名) 双子の一方 (形) 双子の,She has a twin sister. (彼女には双子の妹がいる。),,
clinical,2367,54.41,28,(形) 臨床の、病院の,She works in a clinical setting. (彼女は臨床現場で働いている。),,
eastern,2368,54.4,28,(形) 東の、東部の,He lives in the eastern part of the country. (彼は国の東部に住んでいる。),,
forecast,2369,54.4,28,(名) 予報、予測 (動) 予報する、予測する,The weather forecast is good for tomorrow. (明日の天気予報は良い。),,
segment,2370,54.4,28,(名) 部分、区分 (動) 分割する,This segment of the market is growing. (この市場区分は成長している。),,
custom,2371,54.4,28,(名) 慣習、風習,It's a local custom. (それは地元の慣習だ。),,
adapt,2372,54.4,28,(動) 適応させる、順応する,You need to adapt to new situations. (新しい状況に適応する必要がある。),,
sand,2373,54.39,28,(名) 砂,The beach is covered in sand. (ビーチは砂で覆われている。),,
cap,2374,54.39,27,(名) 帽子、上限 (動) 蓋をする、上限を設ける,He wore a baseball cap. (彼は野球帽をかぶっていた。),,
prompt,2375,54.38,27,(形) 迅速な、即座の (動) 促す (名) きっかけ,His prompt response was appreciated. (彼の迅速な対応は高く評価された。),,
charm,2376,54.38,27,(名) 魅力、お守り (動) 魅了する,She has a lot of charm. (彼女はたくさんの魅力を持っている。),,
react,2377,54.38,27,(動) 反応する,He reacted quickly to the news. (彼はそのニュースに素早く反応した。),,
lecture,2378,54.37,27,(名) 講義、講演 (動) 講義する,She gave a lecture on modern art. (彼女は現代美術について講義を行った。),,
venture,2379,54.37,27,(名) 冒険的事業、ベンチャー (動) 危険を冒して進む,They started a new business venture. (彼らは新しい事業を始めた。),,
compound,2380,54.37,27,(名) 化合物、複合体 (形) 複合の (動) 悪化させる,Water is a chemical compound. (水は化学化合物だ。),,
rescue,2381,54.37,27,(動) 救助する (名) 救助,They launched a rescue mission. (彼らは救助活動を開始した。),,
mess,2382,54.36,27,(名) 散らかり、混乱 (動) 散らかす,Your room is a mess. (あなたの部屋は散らかっている。),,
preference,2383,54.36,27,(名) 好み、優先,Do you have any preference? (何か好みはありますか？),,
comprehensive,2384,54.35,27,(形) 包括的な、総合的な,He has a comprehensive understanding of the subject. (彼はその主題について包括的な理解をしている。),,
incentive,2385,54.35,27,(名) 誘因、動機付け,They offered financial incentives to new employees. (彼らは新入社員に経済的なインセンティブを提供した。),,
league,2386,54.33,27,(名) リーグ、連盟,Our team is in the top league. (私たちのチームはトップリーグにいる。),,
dialog,2387,54.33,27,(名) 対話、会話,They had a long dialog. (彼らは長い対話をした。),,
cream,2388,54.33,27,(名) クリーム、乳脂 (形) クリーム色の,She put cream in her coffee. (彼女はコーヒーにクリームを入れた。),,
rapid,2389,54.32,27,(形) 急速な、素早い,There was a rapid increase in sales. (売り上げが急速に増加した。),,
cancel,2390,54.32,27,(動) キャンセルする、取り消す,We had to cancel the meeting. (私たちは会議をキャンセルしなければならなかった。),,
regret,2391,54.32,27,(動) 後悔する、残念に思う (名) 後悔,I regret to inform you that... (残念ながらお知らせしなければならないのですが...),,
dismiss,2392,54.32,27,(動) 解雇する、却下する、解散させる,He was dismissed from his job. (彼は仕事を解雇された。),,
margin,2393,54.32,27,(名) 余白、差、利益幅,Write your notes in the margin. (余白にメモを書いてください。),,
beneath,2394,54.32,27,(前) ～の下に (副) 下に,The book was beneath the table. (本はテーブルの下にあった。),,
opponent,2395,54.31,27,(名) 対戦相手、反対者,He defeated his opponent. (彼は対戦相手を破った。),,
resist,2396,54.3,27,(動) 抵抗する、耐える,She couldn't resist the temptation. (彼女は誘惑に抵抗できなかった。),,
capability,2397,54.3,27,(名) 能力、可能性,He has the capability to do the job. (彼にはその仕事をする能力がある。),,
absolute,2398,54.3,27,(形) 絶対的な、完全な,You have my absolute trust. (あなたは私の絶対的な信頼を得ている。),,
correspond,2399,54.3,27,(動) 文通する、一致する,His actions do not correspond to his words. (彼の行動は言葉と一致しない。),,
stroke,2400,54.3,27,(名) 脳卒中、一撃、なでること (動) なでる,He suffered a stroke. (彼は脳卒中を起こした。),,
dare,2401,54.3,27,(動) あえて～する、～する勇気がある (名) 度胸試し,How dare you say that? (よくもそんなことを言えたものだ。),,
barrier,2402,54.3,27,(名) 障壁、バリア,Language can be a barrier to communication. (言葉はコミュニケーションの障壁になり得る。),,
rid,2403,54.29,27,(動) ～を取り除く、～を片付ける,I want to get rid of this old car. (この古い車を処分したい。),,
divorce,2404,54.27,27,(名) 離婚 (動) 離婚する,They decided to get a divorce. (彼らは離婚することに決めた。),,
ruin,2405,54.26,27,(動) 台無しにする、破滅させる (名) 廃墟、破滅,The rain ruined our picnic. (雨が私たちのピクニックを台無しにした。),,
bury,2406,54.26,27,(動) 埋める、葬る,They buried the treasure. (彼らは宝物を埋めた。),,
counsel,2407,54.26,27,(名) 助言、カウンセリング (動) 助言する、カウンセリングする,He sought counsel from his lawyer. (彼は弁護士に助言を求めた。),,
tendency,2408,54.26,27,(名) 傾向,He has a tendency to be late. (彼には遅刻する傾向がある。),,
frequent,2409,54.26,27,(形) 頻繁な、しばしばの,He is a frequent visitor. (彼は頻繁に訪れる人だ。),,
motor,2410,54.25,27,(名) モーター、発動機 (形) 自動車の,The motor of the machine broke down. (その機械のモーターが故障した。),,
survival,2411,54.25,27,(名) 生存、生き残り,Survival in the wilderness is difficult. (荒野での生存は困難だ。),,
counter,2412,54.25,27,(名) カウンター、計算機 (動) 反撃する (形) 反対の),He sat at the counter. (彼はカウンターに座った。),,
possess,2413,54.25,27,(動) 所有する、備えている,He possesses great wealth. (彼は莫大な富を所有している。),,
permission,2414,54.24,27,(名) 許可,You need permission to enter. (入るには許可が必要です。),,
valley,2415,54.24,27,(名) 谷,The village is located in a valley. (その村は谷に位置している。),,
float,2416,54.24,27,(動) 浮かぶ、漂う,The boat was floating on the water. (ボートは水面に浮かんでいた。),,
mad,2417,54.24,27,(形) 怒っている、狂気の,He was mad about the decision. (彼はその決定に激怒していた。),,
greatly,2418,54.23,27,(副) 大いに、非常に,I greatly appreciate your help. (あなたの助けに心から感謝します。),,
visible,2419,54.23,26,(形) 目に見える、明らかな,The stars were clearly visible. (星ははっきりと見えた。),,
electric,2420,54.23,26,(形) 電気の、電動の,She bought a new electric car. (彼女は新しい電気自動車を買った。),,
impressive,2421,54.22,26,(形) 印象的な、感動的な,His performance was very impressive. (彼のパフォーマンスは非常に印象的だった。),,
evolution,2422,54.21,26,(名) 進化、発展,The theory of evolution is widely accepted. (進化論は広く受け入れられている。),,
awareness,2423,54.21,26,(名) 意識、認識,Public awareness of the issue is growing. (その問題に対する国民の認識が高まっている。),,
violent,2424,54.21,26,(形) 暴力的な、激しい,He was involved in a violent incident. (彼は暴力事件に関わっていた。),,
slave,2425,54.21,26,(名) 奴隷 (動) 苦労して働く,They fought to free the slaves. (彼らは奴隷を解放するために戦った。),,
wealthy,2426,54.21,26,(形) 裕福な、金持ちの,He comes from a wealthy family. (彼は裕福な家庭の出身だ。),,
architecture,2427,54.21,26,(名) 建築、建築様式,He is studying architecture. (彼は建築を学んでいる。),,
acceptable,2428,54.21,26,(形) 受け入れられる、容認できる,This solution is not acceptable. (この解決策は容認できない。),,
journal,2429,54.21,26,(名) 雑誌、専門誌、日誌,She publishes her research in academic journals. (彼女は学術誌に研究を発表している。),,
coal,2430,54.21,26,(名) 石炭,Coal is a fossil fuel. (石炭は化石燃料だ。),,
measurement,2431,54.21,26,(名) 測定、寸法,Accurate measurement is important. (正確な測定は重要だ。),,
random,2432,54.21,26,(形) 無作為の、でたらめの,He made a random choice. (彼は無作為に選んだ。),,
successfully,2433,54.19,26,(副) 成功裏に,She successfully completed the project. (彼女はプロジェクトを成功裏に完了させた。),,
depress,2434,54.19,26,(動) 意気消沈させる、不況にする,The news depressed him. (そのニュースは彼を意気消沈させた。),,
illustration,2435,54.18,26,(名) 挿絵、説明,The book contains many illustrations. (その本には多くの挿絵が含まれている。),,
burst,2436,54.18,26,(動) 破裂する、突然～し始める (名) 破裂,The balloon burst. (風船が破裂した。),,
privilege,2437,54.18,26,(名) 特権、特典 (動) 特権を与える,It's a privilege to work with him. (彼と一緒に仕事ができるのは特権だ。),,
buyer,2438,54.18,26,(名) 買い手、購入者,We are looking for a buyer for our house. (私たちは家を買ってくれる人を探している。),,
mutual,2439,54.18,26,(形) 相互の、共通の,They have a mutual respect for each other. (彼らはお互いに相互の尊敬を持っている。),,
rail,2440,54.17,26,(名) 鉄道、手すり (動) レールを敷く,The train runs on rails. (電車はレールの上を走る。),,
motivate,2441,54.16,26,(動) 動機付ける、やる気を起こさせる,His speech motivated the team. (彼のスピーチはチームをやる気にさせた。),,
laboratory,2442,54.15,26,(名) 実験室、研究所 (labと略される),She works in a research laboratory. (彼女は研究室で働いている。),,
mortgage,2443,54.15,26,(名) 住宅ローン (動) 抵当に入れる,They took out a mortgage to buy the house. (彼らは家を買うために住宅ローンを組んだ。),,
promotion,2444,54.14,26,(名) 昇進、販売促進,He received a promotion at work. (彼は職場で昇進した。),,
passion,2445,54.14,26,(名) 情熱,She has a passion for music. (彼女は音楽に情熱を燃やしている。),,
champion,2446,54.13,26,(名) チャンピオン、擁護者 (動) 擁護する,He is the world champion. (彼は世界チャンピオンだ。),,
fulfill,2447,54.13,26,(動) 満たす、果たす,He fulfilled his promise. (彼は約束を果たした。),,
dust,2448,54.13,26,(名) ほこり (動) ほこりを払う,The furniture was covered in dust. (家具はほこりで覆われていた。),,
dedicate,2449,54.12,26,(動) 捧げる、専念する,He dedicated his life to science. (彼は人生を科学に捧げた。),,
roughly,2450,54.12,26,(副) おおよそ、大まかに、乱暴に,It will cost roughly $100. (おおよそ100ドルかかるだろう。),,
skirt,2451,54.12,26,(名) スカート (動) 回避する、縁をたどる,She wore a long skirt. (彼女は長いスカートをはいていた。),,
province,2452,54.12,26,(名) 州、省、地方,He lives in a remote province. (彼は遠い地方に住んでいる。),,
march,2453,54.11,26,(動) 行進する (名) 行進,They marched through the streets. (彼らは通りを行進した。),,
evaluation,2454,54.11,26,(名) 評価、査定,The evaluation of his performance was positive. (彼のパフォーマンスの評価は肯定的だった。),,
compromise,2455,54.11,26,(名) 妥協 (動) 妥協する、危うくする,They reached a compromise. (彼らは妥協に達した。),,
accomplish,2456,54.11,26,(動) 成し遂げる、達成する,He accomplished his goal. (彼は目標を達成した。),,
weakness,2457,54.11,26,(名) 弱さ、弱点,His greatest weakness is his pride. (彼の最大の弱点は彼のプライドだ。),,
announcement,2458,54.11,26,(名) 発表、告知,The announcement was made this morning. (その発表は今朝行われた。),,
salt,2459,54.11,26,(名) 塩,Pass me the salt, please. (塩を取ってください。),
glance,2460,54.1,26,(動) ちらっと見る (名) ちらっと見ること,He took a quick glance at his watch. (彼は時計をちらっと見た。),,
opera,2461,54.1,26,(名) オペラ,She loves opera. (彼女はオペラが大好きだ。),,
contest,2462,54.1,26,(名) 競争、コンテスト (動) 争う、異議を唱える,She won the singing contest. (彼女は歌のコンテストで優勝した。),,
brush,2463,54.1,26,(名) ブラシ、筆 (動) ブラシをかける、磨く,He brushed his teeth. (彼は歯を磨いた。),,
embarrass,2464,54.09,26,(動) 恥ずかしい思いをさせる、困らせる,His rude behavior embarrassed her. (彼の失礼な行動は彼女を恥ずかしい思いにさせた。),,
gallery,2465,54.09,26,(名) 画廊、美術館、ギャラリー,We visited an art gallery. (私たちは画廊を訪れた。),,
genetic,2466,54.09,26,(形) 遺伝子の、遺伝的な,Genetic engineering has many potential benefits. (遺伝子工学には多くの潜在的な利点がある。),,
aggressive,2467,54.09,26,(形) 攻撃的な、積極的な,He has an aggressive personality. (彼は攻撃的な性格をしている。),,
chest,2468,54.09,26,(名) 胸、箱,He felt a pain in his chest. (彼は胸に痛みを感じた。),,
format,2469,54.08,26,(名) 形式、書式 (動) 形式を整える,What format should I use? (どのような形式を使えばよいですか？),,
literary,2470,54.08,26,(形) 文学の、文学的な,He is a literary critic. (彼は文芸評論家だ。),,
govern,2471,54.08,26,(動) 統治する、支配する,The country is governed by a democratic system. (その国は民主的な制度によって統治されている。),,
embrace,2472,54.06,25,(動) 抱きしめる、受け入れる (名) 抱擁,She embraced the opportunity. (彼女はその機会を受け入れた。),,
praise,2473,54.05,25,(名) 賞賛、褒めること (動) 賞賛する,He received praise for his efforts. (彼は努力に対して賞賛を受けた。),,
silent,2474,54.05,25,(形) 静かな、沈黙した,The room was silent. (部屋は静かだった。),,
pump,2475,54.04,25,(名) ポンプ (動) ポンプで汲み上げる,He used a pump to inflate the tire. (彼はタイヤを膨らませるのにポンプを使った。),,
publisher,2476,54.04,25,(名) 出版社、出版者,He works for a large publisher. (彼は大手出版社で働いている。),,
celebration,2477,54.04,25,(名) 祝賀、祝典,We had a big celebration for her birthday. (彼女の誕生日を盛大に祝った。),,
golf,2478,54.04,25,(名) ゴルフ (動) ゴルフをする,He plays golf every weekend. (彼は毎週末ゴルフをする。),,
compensation,2479,54.04,25,(名) 補償、償い,He received compensation for his injuries. (彼は怪我に対する補償を受け取った。),,
classical,2480,54.04,25,(形) 古典的な、クラシックの,She enjoys classical music. (彼女はクラシック音楽が好きだ。),,
weigh,2481,54.03,25,(動) 重さを量る、重さがある,How much do you weigh? (体重はどのくらいですか？),,
versus,2482,54.03,25,(前) ～対～、～と比べて,It's a game of good versus evil. (それは善対悪の戦いだ。),,
deficit,2483,54.02,25,(名) 赤字、不足,The company reported a large deficit. (その会社は大きな赤字を報告した。),,
modify,2484,54.02,25,(動) 修正する、変更する,We need to modify the plan. (私たちは計画を修正する必要がある。),,
flash,2485,54.02,25,(名) 閃光、ひらめき (動) 閃光を放つ,There was a flash of lightning. (稲妻が閃光を放った。),,
friendship,2486,54.02,25,(名) 友情,Their friendship lasted for many years. (彼らの友情は長年続いた。),,
profession,2487,54.01,25,(名) 職業,Teaching is a noble profession. (教師は高貴な職業だ。),,
literally,2488,54.01,25,(副) 文字通りに、本当に,I was literally starving. (文字通り飢え死にしそうだった。),,
equation,2489,54.01,25,(名) 方程式、等式,Solve the equation. (方程式を解きなさい。),,
gesture,2490,54.01,25,(名) 身振り、ジェスチャー (動) 身振りで示す,He made a welcoming gesture. (彼は歓迎の身振りをした。),,
entertain,2491,54,25,(動) 楽しませる、もてなす,He entertained the guests with stories. (彼は物語で客をもてなした。),,
fantastic,2492,54,25,(形) 素晴らしい、空想的な,That's a fantastic idea! (それは素晴らしいアイデアだ！),,
assign,2493,54,25,(動) 割り当てる、指定する,He was assigned a new task. (彼は新しい任務を割り当てられた。),,
inflation,2494,54,25,(名) インフレーション、物価高,Inflation is a major economic concern. (インフレーションは主要な経済問題だ。),,
historic,2495,54,25,(形) 歴史的な、歴史上重要な,This is a historic moment. (これは歴史的な瞬間だ。),,
injure,2496,53.98,25,(動) 負傷させる、損なう,He injured his leg while playing soccer. (彼はサッカーをしている最中に脚を負傷した。),,
remote,2497,53.98,25,(形) 遠隔の、へんぴな,He lives in a remote village. (彼はへんぴな村に住んでいる。),,
therapy,2498,53.97,25,(名) 治療、セラピー,She is undergoing therapy. (彼女は治療を受けている。),,
orange,2499,53.97,25,(名) オレンジ (形) オレンジ色の,I ate an orange. (私はオレンジを食べた。),,
twist,2500,53.97,25,(動) ねじる、ひねる (名) ねじれ、ひねり,He twisted his ankle. (彼は足首をひねった。),,
personnel,2501,53.97,25,(名) 人員、職員,The company has excellent personnel. (その会社には優秀な人材がいる。),,
imagination,2502,53.96,25,(名) 想像力,She has a vivid imagination. (彼女は豊かな想像力を持っている。),,
disagree,2503,53.96,25,(動) 意見が合わない、同意しない,I disagree with your opinion. (私はあなたの意見に同意しません。),,
throat,2504,53.95,25,(名) 喉,He had a sore throat. (彼は喉が痛かった。),,
insight,2505,53.94,25,(名) 洞察、見識,His comments offered valuable insight. (彼のコメントは貴重な洞察を与えた。),,
tackle,2506,53.94,25,(動) 取り組む、タックルする (名) タックル,We need to tackle this problem head-on. (私たちはこの問題に正面から取り組む必要がある。),,
forever,2507,53.93,25,(副) 永遠に、いつまでも,I will remember this day forever. (この日を永遠に忘れないだろう。),,
exceed,2508,53.93,25,(動) 超える、上回る,The cost should not exceed $100. (費用は100ドルを超えてはならない。),,
expenditure,2509,53.93,25,(名) 支出、費用,The government needs to cut public expenditure. (政府は公共支出を削減する必要がある。),,
joy,2510,53.92,25,(名) 喜び、歓喜,She felt great joy. (彼女は大きな喜びを感じた。),,
pregnant,2511,53.91,25,(形) 妊娠している,She is pregnant with her first child. (彼女は第一子を妊娠している。),,
reliable,2512,53.91,25,(形) 信頼できる、確かな,He is a reliable source of information. (彼は信頼できる情報源だ。),,
gear,2513,53.91,25,(名) ギア、装置、用具 (動) 適合させる,He shifted into a higher gear. (彼はギアを上げた。),,
click,2514,53.91,25,(動) カチッと音を立てる、クリックする (名) カチッという音、クリック,Click here to open the file. (ファイルを開くにはここをクリックしてください。),,
poet,2515,53.91,25,(名) 詩人,He is a famous poet. (彼は有名な詩人だ。),,
fortune,2516,53.91,25,(名) 財産、幸運、運命,She inherited a large fortune. (彼女は多額の財産を相続した。),,
ceremony,2517,53.9,25,(名) 式典、儀式,The opening ceremony was beautiful. (開会式は美しかった。),,
pile,2518,53.9,25,(名) 積み重ね、山 (動) 積み重ねる,He made a pile of books on the desk. (彼は机の上に本を積み重ねた。),,
pig,2519,53.89,25,(名) 豚,Pigs are kept on the farm. (豚は農場で飼育されている。),,
mixture,2520,53.89,25,(名) 混合物、ごちゃまぜ,The drink is a mixture of fruit juices. (その飲み物はフルーツジュースの混合物だ。),,
automatically,2521,53.88,24,(副) 自動的に,The door opens automatically. (ドアは自動的に開く。),,
scholar,2522,53.87,24,(名) 学者、奨学生,He is a respected scholar. (彼は尊敬されている学者だ。),,
psychological,2523,53.87,24,(形) 心理学の、心理的な,She has a psychological problem. (彼女は心理的な問題を抱えている。),,
dramatically,2524,53.87,24,(副) 劇的に,The situation changed dramatically. (状況は劇的に変化した。),,
stake,2525,53.87,24,(名) 杭、利害関係、賭け金 (動) 賭ける,He has a personal stake in the outcome. (彼はその結果に個人的な利害関係がある。),,
creature,2526,53.87,24,(名) 生き物、動物,All living creatures need water. (すべての生き物は水を必要とする。),,
partnership,2527,53.87,24,(名) 提携、協力関係、共同経営,They formed a partnership. (彼らは提携を結んだ。),,
participation,2528,53.86,24,(名) 参加,Student participation is encouraged. (学生の参加が奨励されている。),,
clause,2529,53.86,24,(名) 条項、節,The contract contains a penalty clause. (契約には違約金条項が含まれている。),,
penalty,2530,53.86,24,(名) 罰則、ペナルティ,He received a penalty for speeding. (彼はスピード違反で罰金を受けた。),,
chamber,2531,53.86,24,(名) 部屋、会議室,The council met in the chamber. (議会は会議室で会合した。),,
fancy,2532,53.86,24,(形) 凝った、高級な (動) ～したいと思う、想像する,I fancy a cup of tea. (紅茶が飲みたい気分だ。),,
poetry,2533,53.86,24,(名) 詩、詩作,She enjoys reading poetry. (彼女は詩を読むのが好きだ。),,
chat,2534,53.85,24,(名) おしゃべり (動) おしゃべりする,We had a long chat. (私たちは長いおしゃべりをした。),,
clothing,2535,53.85,24,(名) 衣類、衣服,He bought some new clothing. (彼は新しい服をいくつか買った。),,
evolve,2536,53.85,24,(動) 進化する、発展する,Humans evolved from apes. (人類はサルから進化した。),,
sake,2537,53.85,24,(名) ため、目的,For goodness sake, hurry up! (どうか早くしてくれ！),
shelf,2538,53.84,24,(名) 棚,The books are on the shelf. (本は棚にある。),,
boost,2539,53.84,24,(動) 押し上げる、促進する (名) 押し上げ、促進,The new policy will boost the economy. (新しい政策は経済を押し上げるだろう。),,
tail,2540,53.83,24,(名) しっぽ、尾,The dog wagged its tail. (犬はしっぽを振った。),,
possession,2541,53.83,24,(名) 所有物、所有,He had no money or possessions. (彼はお金も持ち物もなかった。),,
abortion,2542,53.83,24,(名) 堕胎、中絶,Abortion is a controversial issue. (中絶は議論の的となる問題だ。),,
curious,2543,53.83,24,(形) 好奇心の強い、奇妙な,She is curious about everything. (彼女は何にでも好奇心旺盛だ。),,
wooden,2544,53.82,24,(形) 木製の,He bought a wooden table. (彼は木製のテーブルを買った。),,
boom,2545,53.82,24,(名) 好景気、ブーム (動) 好景気になる、轟音を立てる,The economy is experiencing a boom. (経済は好景気を経験している。),,
tale,2546,53.82,24,(名) 話、物語,She told us a fairy tale. (彼女は私たちにおとぎ話を聞かせた。),,
democratic,2547,53.81,24,(形) 民主的な,The country has a democratic government. (その国は民主的な政府を持っている。),,
maintenance,2548,53.8,24,(名) 維持、整備,The car needs regular maintenance. (その車は定期的な整備が必要だ。),,
consequently,2549,53.8,24,(副) 結果として、したがって,He didn't study, and consequently, he failed the exam. (彼は勉強しなかったので、結果として試験に落ちた。)
pot,2550,53.8,24,(名) 鍋、植木鉢,She cooked soup in a large pot. (彼女は大きな鍋でスープを作った。),,
cow,2551,53.79,24,(名) 雌牛,Cows produce milk. (牛は牛乳を生産する。),,
strengthen,2552,53.79,24,(動) 強化する、強くなる,Exercise will strengthen your muscles. (運動は筋肉を強化するだろう。),,
whilst,2553,53.79,24,(接) ～している間に、～である一方,Whilst I was studying, he was playing. (私が勉強している間、彼は遊んでいた。),
constraint,2554,53.79,24,(名) 制約、束縛,We are working under tight budget constraints. (私たちは厳しい予算制約の下で働いている。),,
fold,2555,53.79,24,(動) 折る、折りたたむ (名) 折り目,Please fold the clothes. (服をたたんでください。),,
bin,2556,53.79,24,(名) ゴミ箱、収納容器,Put the rubbish in the bin. (ゴミをゴミ箱に入れてください。),,
undergo,2557,53.79,24,(動) 経験する、受ける,He underwent a surgical operation. (彼は外科手術を受けた。),,
potentially,2558,53.78,24,(副) 潜在的に、もしかしたら,This could potentially be a problem. (これは潜在的に問題になる可能性がある。),,
scope,2559,53.78,24,(名) 範囲、領域、余地,The scope of the project is very broad. (そのプロジェクトの範囲は非常に広い。),,
pretend,2560,53.78,24,(動) ふりをする、装う,He pretended to be sick. (彼は病気のふりをした。),,
diversity,2561,53.77,24,(名) 多様性,The city is known for its cultural diversity. (その都市は文化的多様性で知られている。),,
allege,2562,53.77,24,(動) 主張する、申し立てる,He alleged that he was innocent. (彼は自分が無実だと主張した。),,
pride,2563,53.76,24,(名) 誇り、自尊心 (動) 誇りに思う,She takes pride in her work. (彼女は自分の仕事に誇りを持っている。),,
intense,2564,53.76,24,(形) 強烈な、激しい,He felt intense pain. (彼は激しい痛みを感じた。),,
inquiry,2565,53.75,24,(名) 問い合わせ、調査,I made an inquiry about the job. (その仕事について問い合わせをした。),,
resign,2566,53.75,24,(動) 辞任する、辞職する,She resigned from her position. (彼女は職を辞した。),,
craft,2567,53.75,24,(名) 技術、工芸、船 (動) 巧みに作る,He is skilled in the craft of woodworking. (彼は木工の技術に長けている。),,
strict,2568,53.75,24,(形) 厳しい、厳格な,He is very strict about rules. (彼は規則にとても厳しい。),,
concrete,2569,53.74,24,(名) コンクリート (形) 具体的な、コンクリート製の,We need concrete evidence. (私たちは具体的な証拠が必要だ。),,
shell,2570,53.74,24,(名) 貝殻、殻 (動) 殻を剥く,The crab has a hard shell. (カニは硬い殻を持っている。),,
damn,2571,53.72,24,(間) ちくしょう (動) ののしる (形) 全くひどい),Oh, damn! I forgot my keys. (ああ、ちくしょう！鍵を忘れた。),
distinct,2572,53.72,24,(形) 明確な、はっきりした、異なる,There are two distinct types. (2つの異なるタイプがある。),,
humor,2573,53.71,24,(名) ユーモア、おかしさ,He has a good sense of humor. (彼はユーモアのセンスが良い。),,
limitation,2574,53.71,24,(名) 制限、限界,Every system has its limitations. (すべてのシステムには限界がある。),,
indication,2575,53.71,23,(名) 指示、兆候,There is no indication of a problem. (問題の兆候はない。),,
stability,2576,53.7,23,(名) 安定、安定性,The country needs political stability. (その国は政治的安定が必要だ。),,
wise,2577,53.7,23,(形) 賢い、賢明な,That was a wise decision. (それは賢明な決断だった。),,
neglect,2578,53.7,23,(動) 無視する、怠る (名) 無視、怠慢,He neglected his duties. (彼は職務を怠った。),,
compose,2579,53.7,23,(動) 構成する、作曲する、落ち着かせる,He composed a beautiful piece of music. (彼は美しい楽曲を作曲した。),,
jail,2580,53.7,23,(名) 刑務所、留置所 (動) 投獄する,He was sent to jail. (彼は刑務所に送られた。),,
shelter,2581,53.69,23,(名) 避難所、隠れ家 (動) 保護する,We found shelter from the rain. (私たちは雨宿りできる場所を見つけた。),,
mere,2582,53.69,23,(形) 単なる、ほんの,It was a mere coincidence. (それは単なる偶然だった。),,
carbon,2583,53.69,23,(名) 炭素,Carbon dioxide is a greenhouse gas. (二酸化炭素は温室効果ガスだ。),,
regulate,2584,53.69,23,(動) 規制する、調整する,The government regulates the industry. (政府はその産業を規制している。),,
